date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:37:08	29882/29882	---M--	200	added ('OK')	text/html	etag:%2274ba-522e363761aa6%22	http://chuck.cs.princeton.edu/doc/program/ugen.html	C:/Users/Calvin/Documents/Chuck-Scripts/Reference/website/Chuck%20reference/chuck.cs.princeton.edu/doc/program/ugen.html	(from )
17:37:09	208/208	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Sep%202018%2021:37:08%20GMT	http://chuck.cs.princeton.edu/robots.txt		(from )
17:37:09	1878/1878	---M--	200	added ('OK')	text/css	etag:%22756-522e3639b38e1%22	http://chuck.cs.princeton.edu/doc/ckdoc.css	C:/Users/Calvin/Documents/Chuck-Scripts/Reference/website/Chuck%20reference/chuck.cs.princeton.edu/doc/ckdoc.css	(from http://chuck.cs.princeton.edu/doc/program/ugen.html)
17:37:11	116319/116319	---M--	200	added ('OK')	text/html	etag:%221c65f-522e3638caf56%22	http://chuck.cs.princeton.edu/doc/program/ugen_full.html	C:/Users/Calvin/Documents/Chuck-Scripts/Reference/website/Chuck%20reference/chuck.cs.princeton.edu/doc/program/ugen_full.html	(from http://chuck.cs.princeton.edu/doc/program/ugen.html)
17:37:12	13265/13265	---M--	200	added ('OK')	text/html	etag:%2233d1-522e363841279%22	http://chuck.cs.princeton.edu/doc/program/keywords.html	C:/Users/Calvin/Documents/Chuck-Scripts/Reference/website/Chuck%20reference/chuck.cs.princeton.edu/doc/program/keywords.html	(from http://chuck.cs.princeton.edu/doc/program/ugen.html)
17:37:12	19973/19973	---M--	200	added ('OK')	text/html	etag:%224e05-522e363909e29%22	http://chuck.cs.princeton.edu/doc/program/stdlib.html	C:/Users/Calvin/Documents/Chuck-Scripts/Reference/website/Chuck%20reference/chuck.cs.princeton.edu/doc/program/stdlib.html	(from http://chuck.cs.princeton.edu/doc/program/ugen.html)
17:37:12	2516/2516	---M--	200	added ('OK')	text/html	etag:%229d4-522e3638346c0%22	http://chuck.cs.princeton.edu/doc/program/index.html	C:/Users/Calvin/Documents/Chuck-Scripts/Reference/website/Chuck%20reference/chuck.cs.princeton.edu/doc/program/index.html	(from http://chuck.cs.princeton.edu/doc/program/ugen.html)
17:37:13	1578/1578	---M--	200	added ('OK')	text/css	etag:%2262a-522e363084c60%22	http://chuck.cs.princeton.edu/chuck.css	C:/Users/Calvin/Documents/Chuck-Scripts/Reference/website/Chuck%20reference/chuck.cs.princeton.edu/chuck.css	(from http://chuck.cs.princeton.edu/doc/ckdoc.css)
17:37:13	18190/18190	---M--	200	added ('OK')	text/css	etag:%22470e-522e36393121d%22	http://chuck.cs.princeton.edu/doc/program/wiki.css	C:/Users/Calvin/Documents/Chuck-Scripts/Reference/website/Chuck%20reference/chuck.cs.princeton.edu/doc/program/wiki.css	(from http://chuck.cs.princeton.edu/doc/program/keywords.html)
17:37:13	4129/4129	---M--	200	added ('OK')	text/css	etag:%221021-522e363867b7e%22	http://chuck.cs.princeton.edu/doc/program/common.css	C:/Users/Calvin/Documents/Chuck-Scripts/Reference/website/Chuck%20reference/chuck.cs.princeton.edu/doc/program/common.css	(from http://chuck.cs.princeton.edu/doc/program/keywords.html)
17:37:14	448/448	---M--	200	added ('OK')	text/css	etag:%221c0-522e3638ed37b%22	http://chuck.cs.princeton.edu/doc/program/iefixes.css	C:/Users/Calvin/Documents/Chuck-Scripts/Reference/website/Chuck%20reference/chuck.cs.princeton.edu/doc/program/iefixes.css	(from http://chuck.cs.princeton.edu/doc/program/keywords.html)
17:37:14	264/264	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Sep%202018%2021:37:14%20GMT	http://chuck.cs.princeton.edu/doc/program/'http://chuck.cs.princeton.edu/doc/examples/otf_01.ck'	C:/Users/Calvin/Documents/Chuck-Scripts/Reference/website/Chuck%20reference/chuck.cs.princeton.edu/doc/program/'http_/chuck.cs.princeton.edu/doc/examples/otf_01.ck'	(from http://chuck.cs.princeton.edu/doc/program/keywords.html)
17:37:14	264/264	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Sep%202018%2021:37:14%20GMT	http://chuck.cs.princeton.edu/doc/program/'http://chuck.cs.princeton.edu/doc/examples/otf_02.ck'	C:/Users/Calvin/Documents/Chuck-Scripts/Reference/website/Chuck%20reference/chuck.cs.princeton.edu/doc/program/'http_/chuck.cs.princeton.edu/doc/examples/otf_02.ck'	(from http://chuck.cs.princeton.edu/doc/program/keywords.html)
17:37:14	264/264	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Sep%202018%2021:37:14%20GMT	http://chuck.cs.princeton.edu/doc/program/'http://chuck.cs.princeton.edu/doc/examples/otf_03.ck'	C:/Users/Calvin/Documents/Chuck-Scripts/Reference/website/Chuck%20reference/chuck.cs.princeton.edu/doc/program/'http_/chuck.cs.princeton.edu/doc/examples/otf_03.ck'	(from http://chuck.cs.princeton.edu/doc/program/keywords.html)
17:37:14	264/264	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Sep%202018%2021:37:14%20GMT	http://chuck.cs.princeton.edu/doc/program/'http://chuck.cs.princeton.edu/doc/examples/otf_04.ck'	C:/Users/Calvin/Documents/Chuck-Scripts/Reference/website/Chuck%20reference/chuck.cs.princeton.edu/doc/program/'http_/chuck.cs.princeton.edu/doc/examples/otf_04.ck'	(from http://chuck.cs.princeton.edu/doc/program/keywords.html)
17:37:15	264/264	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Sep%202018%2021:37:14%20GMT	http://chuck.cs.princeton.edu/doc/program/'http://chuck.cs.princeton.edu/doc/examples/otf_05.ck'	C:/Users/Calvin/Documents/Chuck-Scripts/Reference/website/Chuck%20reference/chuck.cs.princeton.edu/doc/program/'http_/chuck.cs.princeton.edu/doc/examples/otf_05.ck'	(from http://chuck.cs.princeton.edu/doc/program/keywords.html)
17:37:15	264/264	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Sep%202018%2021:37:15%20GMT	http://chuck.cs.princeton.edu/doc/program/'http://chuck.cs.princeton.edu/doc/examples/otf_06.ck'	C:/Users/Calvin/Documents/Chuck-Scripts/Reference/website/Chuck%20reference/chuck.cs.princeton.edu/doc/program/'http_/chuck.cs.princeton.edu/doc/examples/otf_06.ck'	(from http://chuck.cs.princeton.edu/doc/program/keywords.html)
17:37:15	264/264	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Sep%202018%2021:37:15%20GMT	http://chuck.cs.princeton.edu/doc/program/'http://chuck.cs.princeton.edu/doc/examples/otf_07.ck'	C:/Users/Calvin/Documents/Chuck-Scripts/Reference/website/Chuck%20reference/chuck.cs.princeton.edu/doc/program/'http_/chuck.cs.princeton.edu/doc/examples/otf_07.ck'	(from http://chuck.cs.princeton.edu/doc/program/keywords.html)
17:37:15	247/247	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Sep%202018%2021:37:15%20GMT	http://chuck.cs.princeton.edu/doc/program/'http://on-the-fly.cs.princeton.edu/'	C:/Users/Calvin/Documents/Chuck-Scripts/Reference/website/Chuck%20reference/chuck.cs.princeton.edu/doc/program/'http_/on-the-fly.cs.princeton.edu/'	(from http://chuck.cs.princeton.edu/doc/program/keywords.html)
17:37:15	2516/2516	---M--	200	added ('OK')	text/html	etag:%229d4-522e3638346c0%22	http://chuck.cs.princeton.edu/doc/program/	C:/Users/Calvin/Documents/Chuck-Scripts/Reference/website/Chuck%20reference/chuck.cs.princeton.edu/doc/program/index-2.html	(from http://chuck.cs.princeton.edu/doc/program/keywords.html)
